#Powered_by_ParaTranz
EVTNAME5002;Stanley Cup
tut_1b_14;The number next to the recruit general button indicates how many generals can be recruited with current leadership. Please click the Promote Army General button.
tut_1b_15;Generals
tut_1b_16;This general has two traits, which can be beneficial or harmful. Hover over traits to see details. Whether traits are good or bad, an army with a general is always stronger than one without.
tut_1b_17;View the troops the general is leading — this new general is not currently assigned to command any troops.
tut_1b_18;Click the box to select automatic assignment of generals to command troops and automatic recruitment of generals.
REMOVE_tut_1b_19;Now manually assign generals to command troops. Please select the unit in Spa according to the arrow direction.
tut_1b_20;Assigning Generals
tut_1b_21;Click the "(No Commander)" box, then select a general.
tut_2b_1;Production - Intermediate
tut_2b_2;In this chapter, we will introduce production concepts of the Victoria series familiar to veteran players. First, the most basic goods producers: RGOs. Please click the province of Brussels to open the province panel.
tut_2b_3;RGOs
tut_2b_4;Many goods are produced by RGOs. RGOs essentially refer to farms and mines. In the province panel you can see the RGOs of Brussels: sulfur mines.
tut_2b_5;Products - The icon shows that this RGO produces sulfur, and the number next to it shows the quantity produced. Hover over the product to see factors affecting productivity.
tut_2b_6;Income - All RGO products will flow into the market. RGOs earn income after successfully selling their goods. Income is used to pay workers and the nobles who own these RGOs.
tut_2b_7;Employees - RGOs hire farmers and laborers to work in farms and mines. More employees bring more products, but the maximum number of employees is limited.
tut_2b_8;You cannot directly affect RGO output. But you can make them more efficient and feel more attractive to work in by researching technology, building railways, and tax reform. Hover over each small icon to see more information. When done, click the production button at the top.
tut_2b_9;Factories
tut_2b_10;This panel shows factories built in various provinces.
tut_2b_11;Raw Materials - Factories need raw materials purchased from the world market to manufacture products.
tut_2b_12;Maintenance - In addition to raw materials, factories need cement for maintenance. Lack of cement will cause reduced output.
tut_2b_13;When there aren't enough resources, you can prioritize a factory. Here iron is needed by several factories, please click the box as indicated by the button to give the steel mill priority over iron resources.
tut_2b_14;Building Factories
tut_2b_16;Construction of Factories
tut_2b_17;In this panel you can see factories that can be built.
tut_2b_18;Click the General Clothing Factory in the menu to see which raw materials needed by this factory can be produced domestically. Belgium already has textile factories. Building more factories using textiles as raw materials can strengthen the local economy.
tut_2b_19;Below you can see the construction materials needed to build the factory. When clicking the build button, insufficient raw materials will be automatically purchased from the world market. In addition, the raw material cost is listed below. Raw material cost refers to the funds used to purchase factory raw materials in the first few days of factory operation.
tut_2b_20;This column shows the number of unemployed workers. In the absence of unemployed workers, new factories will gradually employ workers transferred from other occupations.
tut_2b_21;The criteria for selecting factories should be to build factories whose raw materials can be produced locally and for whose products there is demand. Now click Start Building to build the General Clothing Factory.
tut_2b_22;Expansion of Factories
tut_2b_23;Factory output can be increased by expanding the factory. Whether factories are expanded by the player or by capitalists also depends on the political system. The cost of expanding a factory is similar to building a similar new factory. You can hover over the expand button to see the expansion cost.
tut_2b_24;Please click the Expand button to expand the steel mill.
tut_2b_25;Profit of Factories
tut_2b_26;Factory products flow into the global market. Sales revenue depends on current prices and sales volume. A portion of sales revenue is used to purchase raw materials, and the remainder is profit. Profit is paid to workers (craftsmen and clerks) and owners (capitalists). The player does not directly receive profit money, but only indirectly through taxes and tariffs. Please ensure factory profitability — unprofitable factories will lay off workers and cause unemployment. Click Next to continue.
tut_3b_1;Finance - Intermediate
tut_3b_2;In this chapter, we will introduce finance concepts unique to Victoria II that differ from other Paradox games. First, please open the finance interface.
tut_3b_3;Population Taxation
tut_3b_4;In Victoria II, taxation depends on population income. Whenever a population earns an income, you receive a portion of it through taxes. Populations are divided into three classes:
tut_3b_5;Poor class - Workers and farmers.
tut_3b_6;Middle class - Including artisans, clergy, and other educated populations.
tut_3b_7;Rich class - Including nobles and capitalists.
tut_3b_8;The chart next to each class shows their standard of living. For example, whether they have enough life necessities. If you see too much red, you can help improve their lives by lowering taxes. Hover over specific population icons to see the living conditions of people in different occupations. Click Next to continue the tutorial.
tut_3b_9;Tariffs
tut_3b_10;Tariffs refer to taxes or subsidies on international trade. Pulling the tariff bar to the right increases the burden on the population and factories when purchasing foreign goods. Pulling to the left means the state subsidizes their purchases.
tut_3b_11;Tariffs can serve the dual purpose of increasing revenue and protecting domestic industry.
tut_3b_12;Please click Next.
tut_3b_13;Basic Expenditure
tut_3b_14;Below are various basic expenditures:
tut_3b_15;Industrial Subsidies - This expenditure subsidizes unprofitable factories. Can be activated in the production interface.
tut_3b_16;Stockpile Expenditure - Used to pay for daily trade costs set in the trade interface. There are two numbers above the slider: military consumption and overseas maintenance costs. These numbers indirectly affect storage expenditure, because maintaining troops and assets requires purchasing materials. For example, after building factories and recruiting armies or navies that need supplies, you need to purchase maintenance goods through auto-trade or manual trade.
tut_3b_17;Education Expenditure - Used to pay clergy salaries. Clergy have the role of educating the population and reducing population consciousness. The higher the expenditure, the more people want to become clergy.
tut_3b_18;Administrative Expenditure - Used to pay bureaucrat salaries. Bureaucrats are responsible for running social reforms and collecting taxes. More bureaucrats make tax collection more efficient. National administrative efficiency is shown above the administrative expenditure slider.
tut_3b_19;Social Expenditure - Used to pay for various social reforms, such as unemployment benefits and pensions.
tut_3b_20;Military Expenditure - Used to pay soldier and officer salaries.
tut_3b_21;All these expenditures are directly paid to various types of citizens. If you pay too little, these people will start looking for new jobs. If you pay a lot, you can attract people from other occupations, of course this also increases expenditure. Please decide the best expenditure so that the number of people working in various industries is what you need. Click Next to continue.
tut_3b_22;Diplomatic Income and Expenditure
tut_3b_23;Diplomacy can also generate income or expenditure. Such as war subsidies — we may need to spend money to support friendly nations, or we may receive support from friendly nations. War reparations can also bring income. Click Next to continue.
tut_4b_1;Research - Intermediate
tut_4b_2;In this chapter, we will further familiarize ourselves with the impact of research on the nation. Please click the research button at the top to enter the research interface.
tut_4b_3;Generation of Research Points
tut_4b_4;Each technology research has "research points." These refer to the research points that must be accumulated to complete the technology. Click any technology to see the research points required for it in the info panel. Click Next.
tut_4b_5;Generation of Research Points
tut_4b_6;Research points are generated by the population, specifically by clergy and bureaucrats. Literacy rate, national diversity, and technological progress all affect the generation of research points. Hover over the technology button at the top to see how many research points Belgium has. Now let's discuss the impact of technology, click the Strategic Mobility technology in the Army category.
tut_4b_7;Technology Effects and Inventions
tut_4b_8;Technology R&D has dual effects: immediate effects and inventions. The info panel explains that Strategic Mobility affects the maximum level of fortifications, army scouting, and supply consumption. These effects take effect immediately when the technology is successfully researched.
tut_4b_9;Inventions - Note the lightbulb next to the technology, these represent inventions. Hover over them to see their effects. Invention effects are not immediate, but are randomly triggered with a certain probability after the technology is completed. Gray lightbulbs indicate they cannot be triggered, yellow means possible, and green means already triggered.
tut_4b_10;The player can research what kind of inventions correspond to what technologies, then click Next to continue.
tut_5b_1;Politics
tut_5b_2;This chapter will explain some basic political system concepts in Victoria. Please click the politics button at the top.
tut_5b_3;Ruling Party
tut_5b_4;Here shows Belgium's ruling party, the "Conservative Party." The policies they advocate have a significant impact on the nation and determine what policies the player can adopt. Below the party name you can see current policies. For example, the Nationalists favor state capitalism, one effect of which is that players can manually build factories, while under other policies only capitalists in the population can build factories. Another important influence of policies is that they restrict the freedom of the finance sliders. For example, a state capitalist party will not allow taxes to be below a certain level. Click Next to continue.
tut_5b_5;System of Government
tut_5b_6;When the player encounters a ruling party they don't like, the system of government may greatly limit their ability to change it. The system of government can also prohibit certain ideological parties from taking power. Belgium's system of government is parliamentary constitutional monarchy, under which the government holds elections, but the player can choose to overturn election results and let another faction take power, despite increasing militancy among party supporters. The system of government is determined by various political reforms, and the player can only change it indirectly. For example, a democratic government cannot continue to exist when voting rights are abolished. Click Next to continue.
tut_5b_7;Elections
tut_5b_8;Some political systems generate ruling parties through elections, such as parliamentary constitutional monarchy and democratic republic. Elections for democratic governments must be held periodically, but the player can click the early election button to advance the election. After the election begins, the campaign follows. Various events often occur during campaigns, such as scandals and inflammatory speeches, enough to sway election results. After the campaign ends, voters decide the ruling party based on the policies they support. It's worth noting that voters and the entire population may not be equal — for example, in Belgium only the wealthy can vote. Click Next to continue.
tut_5b_9;Political Reforms
tut_5b_10;Political reforms affect how the nation's political system operates and how the people view politics. For example, voting rights and electoral systems determine who can vote and who carries more weight in the vote. Media rights affect the political views of the educated population. The reason for political reforms is usually a call from the people, but may also be the player's desire to decide the nation's future more freely. Now let's look at social reforms, click Next to continue.
tut_5b_11;Social Reforms
tut_5b_12;Social reforms affect the well-being of the nation. Some reforms increase industrial efficiency, such as maximum working hours. Others redistribute government funds to specific classes of people. Some social reforms are very beneficial to the nation, but note that social reforms increase administrative expenditure.
tut_5b_13;Decisions
tut_5b_14;In the lower right of the politics panel you can see political decisions. These decisions have important effects on the nation, such as changing academic traditions, building the Panama Canal, and unifying Germany. Hover over the question mark to see prerequisites for executing decisions, and hover over the checkmark button to see their effects. If the checkmark button is gray, the player cannot execute these decisions because prerequisites are not met. Click Next to continue.
tut_5b_15;Rebel Factions
tut_5b_16;Finally let's look at the ultimate consequence of ignoring the people's suffering: revolution. As the militancy of the people increases, they will begin to join rebel factions, and these will be displayed in this window. Rebel factions are formed by a group of like-minded people dissatisfied with the status quo. We can see Belgium has a reactionist faction. To the right of its name there are three values:
tut_5b_17;Member Count - The number of people supporting the faction.
tut_5b_18;Organization - Represents the internal strength of the faction. This value increases when dissatisfied populations gain large incomes.
tut_5b_19;Rebellion Risk - Represents the risk of this faction staging an uprising.
tut_5b_20;When a rebel faction decides to rise up, a certain number of rebels will appear, determined by organization and rebellion risk. Be careful — if a pop's militancy is too high, it will rise up on its own regardless of the faction situation, and increase the overall uprising probability. You must defeat them in battle or address the demands of high-militancy pops to eliminate rebel factions. Click the Population tab to view the demands of each pop.
tut_6b_1;Population
tut_6b_2;In this chapter, we will introduce more concepts about pops. Please click the population button at the top to continue the tutorial.
tut_6b_3;Pops
tut_6b_4;In Victoria II, the most basic unit of population is the pop. A pop represents a certain number of people within the same province, with the same occupation, ethnicity, and religion. Each pop has several characteristics, and we will help you familiarize yourself with them. Please click any pop icon to continue the tutorial.
tut_6b_5;Pops
tut_6b_6;Here we can further understand these "representatives of the people." First let's look at their attributes:
tut_6b_7;Nationality - Shows the language and ethnicity of this pop. Some nations are intolerant of ethnic minorities, which can cause friction.
tut_6b_8;Militancy - Shows the degree of dissatisfaction of this pop.
tut_6b_9;Consciousness - Shows this pop's understanding of the world around them and how to fight for their own rights.
tut_6b_10;Literacy Rate - Shows the literacy rate of this pop. This affects research points, the efficiency of the pop as various professionals, and the pop's political orientation.
tut_6b_11;Religion - Shows this pop's beliefs. If different from the state religion, it can cause friction.
tut_6b_12;Unemployment Rate - Shows what proportion of people in this pop are unemployed.
tut_6b_13;Need Satisfaction - Shows how much of this pop's material needs are met. Unmet needs can lead to various outcomes: unmet luxury needs may make the pop unhappy, while unmet basic needs mean starvation.
REMOVE_tut_6b_14;Please close the window to continue.
tut_6b_15;Militancy and Consciousness
tut_6b_16;Let's further explore the two most important indices: militancy and consciousness
tut_6b_17;Consciousness - The greatest role of consciousness in the game is driving reforms. As the game progresses and the nation develops, consciousness will continue to grow, and the people will begin to demand reforms. If pops obtain the reforms they expect, consciousness will decrease somewhat. Another important effect of increased consciousness is that pops will begin to have greater demands, making it possible for wealthy autocratic governments to avoid reforms by making the people richer.
tut_6b_18;Militancy - Many things can make pops angry, but the most important one is the people's inability to meet basic survival needs. Pop anger is accompanied by a higher probability of riots. When a pop is extremely angry, it will join a revolutionary party and use all its resources to overthrow the government, even rising up as rebels.
tut_6b_19;Please click Next.
tut_6b_20;Cash
tut_6b_21;Finally, you will notice that pops have cash. Pops earn cash from their occupation. This money is used to purchase life necessities. If a pop has surplus money, it may deposit it in the national bank, allowing the nation to borrow from the national bank.
tut_7b_1;Trade
tut_7b_2;In this chapter, we will introduce the concept of trade in Victoria II. Please click the trade button at the top to enter the trade interface.
tut_7b_3;Global Market
tut_7b_4;In Victoria II, all products flow through the global market. Every day, all pops, factories, and governments try to purchase life necessities, raw materials, and various resources from the market. Click Next to continue the tutorial.
tut_7b_5;Prices
REMOVE_tut_7b_6;Prices are determined daily by the market based on global supply and demand. Imbalances in supply and demand create an ideal price, and the current price will gradually move toward it. Pay attention to the prices of goods important to the player. For example, if the price of light weapons is rising, it may be time to build new factories. Click Continue
tut_7b_7;Government Procurement and Sales
tut_7b_9;Automatic Government Procurement
tut_7b_10;Some trade can be automatic, such as materials for maintaining the army, navy, and overseas assets, and raw materials needed for construction. Note the auto-trade checkbox is ticked, meaning trade is automatic. Let's try manual trading — click the checkbox to untick it.
tut_7b_11;Manual Government Procurement
tut_7b_12;Manual trade can be used to stockpile inventory and set daily purchase quantities for certain goods. Move the slider to the desired position — this means if your stockpile will be maintained at this level, excess goods will be sold. Click the confirm trade button.
tut_7b_13;Imports and Exports
tut_7b_14;The market is divided into two parts: the domestic market and the global market. The common market refers to the domestic market plus the markets of other nations within the same sphere of influence. The world market includes all goods outside the common market. When buyers prepare to purchase goods, they first try to buy from the common market. When common market stock cannot meet their demand, they will import from the world market. The correct way to build a domestic economy is to ensure the goods your nation needs are all produced domestically. Click Next to continue.
tut_8b_1;Diplomacy
tut_8b_2;In this chapter, we will further introduce rankings and the diplomacy interface. Please click the diplomacy button at the top.
tut_8b_3;Rankings
tut_8b_4;In Victoria II, rankings are very important. A higher ranking brings advantages and respect. Rankings are composed of three indices:
tut_8b_5;Prestige - Prestige increases from improving the nation's condition, such as winning wars, building colonies, or developing culture. Prestige is an extremely important value, because nations with high prestige have priority in purchasing on the global market. The highest-prestige nation has the right to purchase any goods first.
tut_8b_6;Industry - Industry score increases from strengthening industrial power, i.e., building factories and railways.
tut_8b_7;Military - Military score is based on army strength. Large warships provide the highest score bonus. Note that as new ship types emerge, old ships eliminated by the times become worthless.
tut_8b_8;These parameters together determine a nation's ranking. Click the # in the nation list to get ranking information.
tut_8b_9;Nation List
tut_8b_10;Currently the most important nation is Britain. Our Belgium still needs to work hard in the rankings.
tut_8b_11;Nation Name and Flag - The nation's name and the flag that symbolizes it.
tut_8b_12;Influence Priority - Here you can choose which nation to prioritize influence on. Only Great Powers can do this to non-Great Powers. Unfortunately our nation's strength is insufficient.
tut_8b_13;Great Power Influence - Here you can view the degree of influence each of the eight Great Powers has on the world.
tut_8b_14;Sphere of Influence - Here you can check whether a nation is within another nation's sphere of influence.
tut_8b_15;Scores - In order: nation's prestige ranking, industry ranking, military ranking, and total ranking.
tut_8b_16;Opinion - All non-Great Power nations have their own opinion of Great Power nations. From "hostile" to "within sphere of influence," these opinions determine how welcome a nation is to the Great Power. If a nation holds a friendly attitude toward a Great Power and the Great Power has sufficient influence, it can choose to place that nation in its sphere of influence.
tut_8b_17;Relations - Your relations with this nation. You can choose to increase this value to make the nation friendlier, but after many years, this value will return to zero.
tut_8b_18;Please click Luxembourg, which is in the sphere of influence of the Netherlands.
tut_8b_19;Nation Info - Non-Great Power Nation
tut_8b_20;Here you can see the national information of Luxembourg.
tut_8b_21;You can see the nation is an absolutist civilized nation, ruled by conservatives.
tut_8b_22;Here you can find rankings and scores.
tut_8b_23;Then population and ethnicity information.
tut_8b_24;Here you can see how much influence Great Powers have on Luxembourg. When the player becomes a Great Power, this information becomes very important.
tut_8b_25;Please find Britain in the list and click it.
tut_8b_26;Nation Info - Great Power Nation
tut_8b_27;As you can see, Britain is a Great Power (actually the strongest). Its info is similar, but without Great Power influence and with sphere of influence added. After the player becomes a Great Power, pay attention to what nations your competitors want to control. Click Next to continue.
tut_1c_1;Military - Advanced
tut_1c_2;In this chapter, we will discuss some more advanced concepts in Victoria II, including concepts that first-generation players may not have encountered. Select your Belgian army to begin the tutorial.
tut_1c_3;Connection Between Army and Population
tut_1c_4;In Victoria II, every army you build requires a pop (representing a portion of your population) as a recruitment source. Note the soldier icon next to all brigades in your army — this icon indicates the unit is connected to a soldier pop. Most of your units are connected to soldiers, except for those mobilized during total war.
tut_1c_5;This connection is very realistic in Victoria II. Losses to the army are reflected in the connected pop. If a pop riots, the corresponding army will mutiny together. You should remember this well, especially when you mobilize a large number of your population and send them to die in the trenches. Click Next to continue.
tut_1c_6;Supply
tut_1c_7;Your units also need supplies to fight — the army needs light weapons and canned food, and the navy needs sailing ships. These supplies must be purchased by your government from the market, and the purchase process can be automatic (default) or manual in the trade interface. Hover over the supply bar to see this army's needs and whether they are met. Click Next to continue.
tut_1c_8;Mutiny
REMOVE_tut_1c_9;We said before that if a pop connected to an army mutinies, the corresponding unit will also rebel. You can see one of our units has a rebel faction icon, which means its corresponding pop belongs to a faction. This is very dangerous. One way to check this pop's status and issues is to click this population icon, which will open the corresponding population interface. Click Next to continue.
tut_2c_1;Production - Advanced
tut_2c_2;Now let's discuss some more advanced concepts about goods output and profit distribution. Let's first click the production button at the top.
tut_2c_3;Artisans
tut_2c_4;In Victoria II, factories are not the only place where we can produce goods. In this "production interface," you can see all goods being produced. Note that some goods have an artisan icon next to them, indicating they are produced by artisans.
tut_2c_5;Artisans don't work in factories or RGOs. They buy the materials they need from the market, process these raw materials into new goods, and then sell them. The proceeds from the sale are used to purchase the artisan's daily necessities. Artisans are the main producers of secondary processed goods in the early game, but as the game progresses, they are squeezed out by factories benefiting from new technologies. Now let's discuss profit distribution. Click Next.
tut_2c_8;Income and Profit Distribution
tut_2c_9;Like artisans, factories and RGOs also need to sell their products on the market to earn money to maintain operations. Sales revenue minus raw material expenditure (RGOs have no expenditure) is their profit, which is then distributed to these pops:
tut_2c_10;Owners - Nobles are the owners of RGOs, and capitalists are the owners of factories. They bring production bonuses, and in return they receive a large portion of the profit, which is then divided equally among all owners in the region.
tut_2c_11;Workers - RGOs correspond to farmers and laborers, factories to craftsmen and clerks. Workers receive the remaining profit of the corresponding factory or RGO (minimum wage affects this), and use their income to purchase their needs.
tut_2c_12;Sometimes factories need a little help from the player. Click Next to find out what.
tut_2c_13;Factory Subsidies
tut_2c_14;Sometimes you may want a loss-making factory to continue operating — you may need to continue producing important strategic resources, or simply want to keep workers happy. The money to ensure the factory doesn't lose money comes from your treasury. Select the factory subsidy checkbox to start subsidizing your steel mill.
tut_3c_1;Finance - Advanced
tut_3c_2;Now let's discuss some more advanced concepts about finance, such as gold and government employees. Let's open the finance interface.
tut_3c_3;Government Expenditure - Livelihood of Employees
tut_3c_4;Most of the expenditure slider is used to pay salaries of your government employees, and these expenditures are divided equally among the same type of pops. Regardless of how much you pay them, these pops will complete their tasks equally. However, if you don't pay enough, these people will start changing jobs or even rebel. Conversely, if you pay them a lot, more people will switch to these occupations. This means if you need more of a certain type of person, such as soldiers or bureaucrats, you can increase their funds. But be careful not to let them expand too much. Let's go through these government employees. Click Next to continue.
tut_3c_5;Education Expenditure
tut_3c_6;Our education expenditure pays the clergy who represent educators. They not only teach your people to read and write, but also teach them political beliefs.
tut_3c_7;Lower Consciousness - The growth of consciousness of pops in provinces with clergy is reduced, and this effect is more pronounced on the poor class.
tut_3c_8;Increase Literacy Rate - Literacy rate in provinces with clergy increases. When clergy make up 4% of the population, additional clergy will no longer increase this effect.
tut_3c_9;Click Next to enter the administrative section.
tut_3c_10;Administrative Expenditure
tut_3c_11;Our administrative expenditure pays our bureaucrats, who ensure the normal operation of the modern state. They have the following effects:
tut_3c_12;Administrative Efficiency - Your nation's administrative efficiency affects your tariff efficiency and the effectiveness of social reforms. Administrative efficiency is determined by your technology and the ratio of bureaucrats to total population. The proportion of bureaucrats needed for maximum efficiency increases with social reforms. More social reforms require more bureaucrats. To find out how many bureaucrats you need, hover over the bureaucrat proportion.
tut_3c_13;To make the best use of your bureaucrats, you should keep them at an optimal ratio. How you control this depends on how you manage administrative expenditure and whether your other pops are satisfied with their work. Click Next to continue.
tut_3c_14;Social Expenditure
tut_3c_15;Social expenditure funds your social reforms. This money is not paid directly to any government employee, but to the government agency corresponding to the reform. Unemployment benefits are paid to unemployed pops, while pensions are divided equally among all pops. You can see Belgium's expenditure is 0, because we have no social reforms. Now let's end the expenditure discussion and begin discussing gold. Click Next.
tut_3c_16;Gold
tut_3c_17;Rare metals are a special type of goods — they are not sold on the world market, but are directly converted to money and distributed to mine employees and the nation controlling the mine. Note this is the only place in Victoria II's economic system that directly generates money, and if world productivity doesn't increase, this will cause inflation. Now let's learn more about loans. Click Next to continue.
tut_3c_18;Loans
tut_3c_19;As mentioned earlier in this tutorial, a nation can always take loans from the world bank. Since we've said gold is the only way money enters the economic system, we should examine where the money you borrow comes from.
tut_3c_20;Pops deposit part of their earnings in the national bank. When a nation needs to borrow, this money comes from various national banks — first from the nation's own bank, then from other nations' banks based on their size. If you don't have a loan yet, take one now, then click Next.
tut_3c_21;Loans
tut_3c_22;In the "Borrow" list you can see a series of nations — these are your creditor nations. When you pay interest or repay loans, this money returns to the lending pops in the order of the creditor nations' fleet counts.
tut_3c_23;When you cannot pay interest, you are considered to be in default. In this case, your creditor nations can use their navies to force you to enact certain economic policies to repay your debts. Defaulting is very bad, and you should avoid this situation as much as possible. Click Next to continue.
tut_5c_1;Politics
tut_5c_2;In this section we will introduce several important political concepts in Victoria II. Let's open the politics interface.
tut_5c_3;Pluralism
tut_5c_4;First is pluralism. It reflects the population within your nation that expects reforms. A higher value means louder calls for reform. Its positive meaning is that it can bring more progressives and generate more research points. Pluralism increases over time, and it also increases certain technological progress. When you hover over pluralism, you can view Belgium's current pluralism.
tut_5c_5;Revanchism
tut_5c_6;Revanchism represents the anger your people feel about the injustice your nation has suffered in international society. When our nation loses a core territory, revanchism increases until we recapture it or let time fade it away. When revanchism reaches a certain level, your people will tend more toward chauvinism and fascism.
tut_5c_7;Upper House
tut_5c_8;The upper house is key to formulating reform proposals. When certain parties control the upper house, you may be unable to implement certain social and political reforms. This is because different parties have different attitudes toward reforms. For example, when fascist parties are in opposition, they don't support any reforms, until conservative parties are forced to reform due to high domestic militancy.
tut_5c_9;On the left you can see which reforms and ideas Belgium's upper house currently supports.
tut_5c_10;The composition of upper house parties depends on upper house policy reforms. Hover over different options to view different parties' opinions on reforms. Click Next to continue.
tut_5c_11;Social Reform Costs
tut_5c_12;We implement social reforms to make our people's lives better. But there is a cost issue. Most reforms increase expenditure and the scale of your bureaucracy. However, there are two exceptions: unemployment subsidies and pensions are paid directly to the people to support their basic needs. Pensions are paid to all citizens, with the nation supporting 20% of each pop's basic needs. Unemployment subsidies are paid to unemployed pops. Click Next to continue the tutorial.
tut_6c_1;Population
tut_6c_2;Here we will discuss population movements, ideology, and political views. Let's open the population interface first.
tut_6c_3;Ideology and Policies
tut_6c_4;Your people hold various ideologies and political views, which change over time. We can divide the factors that cause changes into two categories:
tut_6c_5;Current Status — The current employment situation of the pop. If the pop is unemployed, it will support unemployment subsidy reforms.
tut_6c_6;Pop Type — Different pops, even under the same conditions, tend to develop in different ideological directions. Soldiers tend toward militarism, while capitalists tend toward liberalism.
tut_6c_7;These factors interact, increasing or decreasing pop demands over time. Pop ideologies oscillate left and right under their influence. You can satisfy their demands to appease them or build a loyal army. Hover over the proportion chart to see why they support these ideas.
tut_6c_8;Let's learn about promotion and demotion. Select a pop from the list.
tut_6c_9;Promotion and Demotion
tut_6c_10;In Victoria II, you don't need to manually manage employment of each pop. They will automatically choose corresponding occupations based on their current status.
tut_6c_11;Promotion and Demotion — If a pop's current status is good, they will gradually try to find higher-level positions than their current occupation. If things are bad, they will move to lower-level positions. Hover over these values to see which factors affect them.
tut_6c_12;New Positions — You can see what positions these pops are considering or aspiring to. Hover over them for more details.
tut_6c_13;These changes are "gradual." If you expect a certain industry to develop faster, you need to increase the attractiveness of that industry to make your people more willing to leave their current class and change occupations. Check which factors affect their decisions, then strengthen or weaken them.
tut_6c_14;Next let's learn about "migration."
tut_6c_15;Migration
tut_6c_16;Migration in Victoria II follows a relatively simple pattern: it proceeds slowly according to the current state of pops. There are three types of migration driving your people:
tut_6c_17;Domestic Migration — Pops migrate domestically, moving to areas with easy employment.
tut_6c_18;Foreign Migration — Pops migrate to other nations, such as nations with more lenient religious policies.
tut_6c_19;Colonial Migration — Pops move in or out of your colonies to seek a fresh start.
tut_6c_20;These changes are very slow. If you want to know their migration motives, you can check the information in this interface.
tut_7c_1;Trade
tut_7c_2;We will briefly mention some concepts new to original Victoria I players and summarize the government's role in trade. Let's open the trade interface.
tut_7c_3;Government and Trade
tut_7c_4;In Victoria II, all entities like factories and artisans participate in trade on their own, which limits the government's responsibilities to:
tut_7c_5;Supplying Overseas Provinces — To effectively use overseas provinces you need to supply them with convoys. Every province not connected to your capital by land increases demand for convoys. If you don't meet this demand, the production efficiency of those provinces' factories and RGOs will be penalized.
tut_7c_6;Supplying Your Troops — Your troops need goods like canned food and weapons. If they don't get enough, their efficiency will be penalized.
tut_7c_7;Construction — Building units or factories requires consuming goods. When you build, the needed goods are prioritized from stockpile. If some goods are insufficient, they will be added to your government demand. When capitalists build factories, they purchase the needed goods themselves; you only need to supply the goods for manually constructed buildings.
tut_7c_8;Stockpile — The government stockpiles goods for the people to use. The necessity of this is to maintain various goods supplies during trade blockades. When you select the "Buy from Stockpile" checkbox, your people will also purchase goods from the stockpile in addition to buying from the market. This avoids the high costs during blockades.
tut_7c_9;Let's continue, click Next.
tut_7c_10;Government Demand and Managing Trade
tut_7c_11;When your trade is automatic, your government orders will strictly match its needs. When you form a new unit, trade orders will be set to meet the increased demand. However, sometimes we need to save money. For this purpose you can click a certain good in government demand and cancel its automatic trade setting. This way you can freely set any trade you want.
tut_7c_12;Click Next to continue
tut_7c_13;Market
tut_7c_14;Let's summarize how trade and the market work. All goods produced in Victoria II are supplied to the market for sale.
tut_7c_15;Common Market — The first round of trade occurs in the common market, which is the market between a nation and its sphere of influence members. All buyers in the market first try to purchase goods from here.
tut_7c_16;Export to Global Market — Goods not sold in the common market are exported to the global market. In this market, nations and their citizens purchase in order of prestige, so if a good is very scarce, the role of prestige becomes very important. Goods not sold in the global market will be wasted, and producers only get paid if they sell their goods.
tut_7c_17;In conclusion, if you try to ensure stable goods supplies for the nation and get your people paid, two things are very important: having high prestige to ensure your people get a front position in the queue, and ensuring sufficient stock in your common market to maintain your economy.
tut_7c_18;Click Next to continue
tut_8c_1;Diplomacy
tut_8c_2;In this chapter we will focus on war and peace, and Great Power diplomacy. This time, let's switch to the Great Power, Prussia. Now enter the diplomacy interface.
tut_8c_3;Great Powers
tut_8c_4;The eight nations in the upper left are Great Powers, as you can see we are also one of them.
tut_8c_5;Being a Great Power has many benefits, such as having your own sphere of influence, ethnic minorities in the nation being happier, and being able to colonize. Losing Great Power status will also make your people very uneasy.
tut_8c_6;Beyond Great Powers there are several other tiers. Secondary Powers can also colonize. Uncivilized nations cannot industrialize until they become civilized.
tut_8c_7;Want to know how to become a Great Power? Click Continue to find out.
tut_8c_8;How to Become (or be Kicked Out of) Great Power
tut_8c_9;Whether you can become a Great Power depends on your scores, including prestige, military, and industry points. Our current scores keep us firmly seated in the Great Power position.
REMOVE_tut_8c_10;If you're about to fall out of the Great Power seat, it's not too late to remedy — you have a period to solve this problem. One way is to start a war, which can increase your prestige or lower others' prestige. Now find France and declare war on her.
tut_8c_11;War and War Goals
REMOVE_tut_8c_12;In this generation of the game, you must have a war goal when declaring war. Now goals are listed in the war declaration menu. Choose one you like and click OK.
tut_8c_13;Adding New War Goals
tut_8c_14;Your goals can be more than just those at declaration. If your people support militarism and you have enough war score, you can add war goals in this interface. But if you can't complete these goals, your people will be very angry. Now click the table showing Great Powers.
tut_8c_15;Sphere of Influence
tut_8c_16;Sphere of Influence means a nation is under the influence of a more powerful nation. The biggest benefit is that you will have a common market and keep your economy prosperous. Another important point is that if you want to unify the nation, you must bring all powers occupying your nation's core provinces into your sphere of influence. Want to know how to get a sphere of influence? Click Continue.
tut_8c_17;Competition for Sphere of Influence
tut_8c_18;To get a sphere of influence, two things are important: influence and opinion between the two nations.
tut_8c_19;Influence on a nation increases over time (of course you must set a priority first). Our goal is to unify Germany, but Hanover holds the German core. Find Hanover in the nation list and increase your priority to it to the maximum.
